trial,trialtype,target,response
551,4,-0.98,0.650816516528845
552,1,-0.98,-0.6215203495339996
553,2,0.98,0.26230447205155033
554,3,0.98,0.4380786826001973
555,4,-0.98,0.5435914863636024
556,1,-0.98,-0.5406447083949566
557,2,0.98,0.7143820870505054
558,3,0.98,0.3999044507778092
559,4,-0.98,0.7077056204326707
560,1,-0.98,-0.4709847543259388
561,2,0.98,0.0645967479383724
562,3,0.98,0.8314595503475115
563,4,-0.98,0.3775729584629327
564,1,-0.98,-0.4235595286617266
565,2,0.98,0.5583905693378637
566,3,0.98,0.7365005388921475
567,4,-0.98,0.6895113510514247
568,1,-0.98,-0.5465407097177438
569,2,0.98,0.07580320815384266
570,3,0.98,0.534540913316837
571,4,-0.98,0.5903044044675458
572,1,-0.98,-0.4704765785103566
573,2,0.98,0.5422176432666549
574,3,0.98,0.41696959910070536
575,4,-0.98,0.15080154020494183
576,1,-0.98,-0.5771599615673793
577,2,0.98,-0.1091152333391233
578,3,0.98,0.5253424308868591
579,4,-0.98,0.3171252686082441
580,1,-0.98,-0.45564991556938944
581,2,0.98,0.5728093526527459
582,3,0.98,0.6961219172232226
583,4,-0.98,0.12256969548731235
584,1,-0.98,-0.5333786634001062
585,2,0.98,0.8174643634192269
586,3,0.98,0.6466447823263833
587,4,-0.98,0.26248208537418233
588,1,-0.98,-0.79231726062246
589,2,0.98,0.7643516365588595
590,3,0.98,0.5412029210752205
591,4,-0.98,0.3422759775917159
592,1,-0.98,-0.4635749437691071
593,2,0.98,0.763079979302424
594,3,0.98,0.8054275336526189
595,4,-0.98,0.7831789103463894
596,1,-0.98,-0.6994616051000487
597,2,0.98,0.7935837138019264
598,3,0.98,0.6718436675596695
599,4,-0.98,0.26941734023853114
600,1,-0.98,-0.5575383505203976
601,2,0.98,0.7119274612788423
602,3,0.98,0.6605261230143888
603,4,-0.98,0.4269714866518032
604,1,-0.98,-0.6798596545238504
605,2,0.98,0.7329111878156178
606,3,0.98,0.592426769775769
607,4,-0.98,0.5720882621000466
608,1,-0.98,-0.6777679989241465
609,2,0.98,0.7012380246384861
610,3,0.98,0.7206377109976875
611,4,-0.98,0.09995772547761066
612,1,-0.98,-0.6279608471961654
613,2,0.98,0.39102767370273905
614,3,0.98,0.5968205947301332
615,4,-0.98,0.31135821229030075
616,1,-0.98,-0.6734589044906092
617,2,0.98,0.7177163408963916
618,3,0.98,0.5237369929573151
619,4,-0.98,0.3907444360579983
620,1,-0.98,-0.5766719925804001
621,2,0.98,0.2293200700563098
622,3,0.98,0.6535061473391144
623,4,-0.98,0.5995661023154307
624,1,-0.98,-0.6332586630724051
625,2,0.98,0.7073708961545705
626,3,0.98,0.6720233133334463
627,4,-0.98,0.6980242378808501
628,1,-0.98,-0.6985700877443175
629,2,0.98,0.03932348013464057
630,3,0.98,0.6745092863772444
631,4,-0.98,0.4477513004403279
632,1,-0.98,-0.7391467036001894
633,2,0.98,0.0866019439563679
634,3,0.98,0.7006011817897457
635,4,-0.98,0.5142856922658323
636,1,-0.98,-0.7595580642906513
637,2,0.98,0.7735204433225993
638,3,0.98,0.6902407423754753
639,4,-0.98,0.14655582002363501
640,1,-0.98,-0.61243281351488
641,2,0.98,-0.4588650214269663
642,3,0.98,0.6385212224592105
643,4,-0.98,0.4942357468030284
644,1,-0.98,-0.6375617891908444
645,2,0.98,0.7854930577343506
646,3,0.98,0.7560962759956394
647,4,-0.98,0.3794927524464594
648,1,-0.98,-0.6783404053436359
649,2,0.98,0.5290172881116475
650,3,0.98,0.7830395669529232
651,4,-0.98,0.6016042028553416
652,1,-0.98,-0.053989593314217696
653,2,0.98,0.6276653103936469
654,3,0.98,0.7203963405665456
655,4,-0.98,0.49830193566405734
656,1,-0.98,-0.7020254335400358
657,2,0.98,0.7704296101854082
658,3,0.98,0.3227978903234695
659,4,-0.98,0.3872319511100038
660,1,-0.98,-0.6628959057152612
661,2,0.98,0.8367024098146516
662,3,0.98,0.7002385385814047
663,4,-0.98,0.29701960856871934
664,1,-0.98,-0.6882770151873784
665,2,0.98,0.7059850164832647
666,3,0.98,0.840142469972562
667,4,-0.98,0.5152148982580542
668,1,-0.98,-0.7268960046356775
669,2,0.98,0.6799694044956801
670,3,0.98,0.6994558529692819
671,4,-0.98,0.5847604878589121
672,1,-0.98,-0.7069777655704695
673,2,0.98,0.7247126166692602
674,3,0.98,0.728692027830979
675,4,-0.98,0.37824810892782484
676,1,-0.98,-0.6054434773128463
677,2,0.98,0.6952372983795928
678,3,0.98,0.8944289445916843
679,4,-0.98,0.24141081384042737
680,1,-0.98,-0.6633190314772823
681,2,0.98,0.7913794071361254
682,3,0.98,0.6435488073405743
683,4,-0.98,0.4660295366687578
684,1,-0.98,-0.6837447629492165
685,2,0.98,0.800429243141896
686,3,0.98,0.48376044080826835
687,4,-0.98,0.6267808379312768
688,1,-0.98,-0.6722904957593836
689,2,0.98,0.7709934357056631
690,3,0.98,0.6144045943107185
691,4,-0.98,0.5149379757115482
692,1,-0.98,-0.6910869674888698
693,2,0.98,0.7201501965862406
694,3,0.98,0.7443419024889055
695,4,-0.98,0.21695236597744513
696,1,-0.98,-0.24359308605726648
697,2,0.98,0.7553556074534941
698,3,0.98,0.7653263648255734
699,4,-0.98,0.5003486971747545
700,1,-0.98,-0.4951787420830178
701,2,0.98,0.6316114231983257
702,3,0.98,0.24341383310770354
703,4,-0.98,0.3211211571542039
704,1,-0.98,-0.7638414755958236
705,2,0.98,0.7494701205227707
706,3,0.98,0.7369892642268181
707,4,-0.98,0.1531865705584365
708,1,-0.98,-0.5982964914955993
709,2,0.98,0.6568456194563504
710,3,0.98,0.4980267698199911
711,4,-0.98,0.32017021081229796
712,1,-0.98,-0.5738621890281623
713,2,0.98,0.8321147625594048
714,3,0.98,0.5927390083938133
715,4,-0.98,0.25998298490446875
716,1,-0.98,-0.6109728735654627
717,2,0.98,0.8011672834191733
718,3,0.98,0.5787388512403832
719,4,-0.98,0.2990394801377135
720,1,-0.98,-0.6636528421488126
721,2,0.98,0.7270711823559255
722,3,0.98,0.41209553396776233
723,4,-0.98,0.2885218251602044
724,1,-0.98,-0.5780327545535726
725,2,0.98,0.48482473319120944
726,3,0.98,0.7031892411209347
727,4,-0.98,0.38417878441423386
728,1,-0.98,-0.7419777685626319
729,2,0.98,0.7571675184736958
730,3,0.98,0.3979339718565553
731,4,-0.98,-0.12519417576803393
732,1,-0.98,-0.6454793935303518
733,2,0.98,0.8523901465591607
734,3,0.98,0.4963985049424139
735,4,-0.98,0.3216193828817264
736,1,-0.98,-0.6187130572466231
737,2,0.98,0.6943338298999032
738,3,0.98,0.7200315210148043
739,4,-0.98,0.3931388781599726
740,1,-0.98,-0.6107280532818301
741,2,0.98,0.668939875541093
742,3,0.98,0.6373077249118402
743,4,-0.98,0.522848225424223
744,1,-0.98,-0.7660502405103009
745,2,0.98,0.7832661609402942
746,3,0.98,0.5940296122851848
747,4,-0.98,0.2103795836090017
748,1,-0.98,-0.7206231901975824
749,2,0.98,-0.23735428906231765
750,3,0.98,0.10254912167801822
751,4,-0.98,0.3833691295755076
752,1,-0.98,-0.668320704959779
753,2,0.98,0.423236246980091
754,3,0.98,0.47747861274455605
755,4,-0.98,0.404463461871628
756,1,-0.98,-0.7639686290052801
757,2,0.98,0.6818865124805508
758,3,0.98,0.569176937260898
759,4,-0.98,0.42038342639486376
760,1,-0.98,-0.7279587229567422
761,2,0.98,0.699979797129356
762,3,0.98,0.44502608402692495
763,4,-0.98,0.1979218764233339
764,1,-0.98,-0.7086914483334896
765,2,0.98,0.7315248048106974
766,3,0.98,0.6703785981661746
767,4,-0.98,0.5334161254321692
768,1,-0.98,-0.6238666406680535
769,2,0.98,0.6628890982750874
770,3,0.98,0.7247996161462791
771,4,-0.98,0.5932776104717165
772,1,-0.98,-0.8093758748276396
773,2,0.98,0.788470140425748
774,3,0.98,0.5319876833627314
775,4,-0.98,0.32825670261047735
776,1,-0.98,-0.6464226297552762
777,2,0.98,0.3047984062975525
778,3,0.98,0.39483717936454343
779,4,-0.98,0.4651349649971685
780,1,-0.98,-0.7299973728409761
781,2,0.98,0.7703563247855857
782,3,0.98,0.5639552255349679
783,4,-0.98,0.48403783943397105
784,1,-0.98,-0.6003240945838266
785,2,0.98,0.7752132308735361
786,3,0.98,0.6428855313971039
787,4,-0.98,0.3449364419264237
788,1,-0.98,-0.5289100740051558
789,2,0.98,0.7204757605457968
790,3,0.98,0.6904627462068104
791,4,-0.98,0.3074591170550297
792,1,-0.98,-0.6731884167247992
793,2,0.98,0.6357513187090789
